Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"081203,081205",0.010251450810738137,0.0009928049478136495,Fr95,['Fr95'],R081205-R081203,nan,isom
"082204,082208",0.021419351586508425,0.0013292179573720316,En74/73FR1+1,['En74'],R082208-R082204,nan,isom
"082204,082208",0.021333267235959803,0.0013213060229716079,En74/73FR1+1,['En74'],R082208-R082204,nan,isom
"082204,082208",0.021912380139650564,0.0008914633831321626,Fr95,['Fr95'],R082208-R082204,nan,isom
"082206,082207",0.004124222976284231,0.0013388724802081886,En74/68Po1+1 R,['En74'],R082207-R082206,nan,isom
"082206,082207",0.004679858329825371,0.0019811478196514964,En74/68Po1+1 R,['En74'],R082207-R082206,nan,isom
"082206,082207",0.004765942680373998,0.0010969128483661469,En74/68Po1+1 R,['En74'],R082207-R082206,nan,isom
"082206,082207",0.004179003926633357,0.0011041517596622815,En74/68Po1+1 R,['En74'],R082207-R082206,nan,isom
"082206,082208",0.01105792612047366,0.001118856531905997,En74/73FR1+1,['En74'],R082208-R082206,nan,isom
"082206,082208",0.010682285318079649,0.0010950033409539773,En74/73FR1+1,['En74'],R082208-R082206,nan,isom
"082206,082208",0.011503999573316544,0.0006810550025658287,Fr95,['Fr95'],R082208-R082206,nan,isom
"082207,082208",0.006675450092543547,0.0013770808562770685,En74/73FR1+1,['En74'],R082208-R082207,nan,isom
"082207,082208",0.0069102255940398025,0.0013851414818284399,En74/73FR1+1,['En74'],R082208-R082207,nan,isom
"082207,082208",0.00735629904688269,0.0009551658025381468,Fr95,['Fr95'],R082208-R082207,nan,isom
"001001,001002",3.8212,0.0015,Hu98,['Hu98'],R001002-R001001,nan,kalpha
"042092,042100",1.1005508080175228,0.1753975575980519,"Su65, Su68","['Su65', 'Su68']",R042100-R042092,nan,kalpha
"042094,042100",0.9777666899403461,0.27224804571017946,"Su65, Su68","['Su65', 'Su68']",R042100-R042094,nan,kalpha
"048110,048112",0.14457043497446267,0.031807723821857384,Ei79,['Ei79'],R048112-R048110,nan,kalpha
"048110,048116",0.45135922188977345,0.028665077753072445,Ei79,['Ei79'],R048116-R048110,nan,kalpha
"048112,048114",0.1414195886472215,0.030214485320057518,Ei79,['Ei79'],R048114-R048112,nan,kalpha
"048114,048116",0.1526200592491177,0.0366552623329003,Ei79,['Ei79'],R048116-R048114,nan,kalpha
"050116,050124",0.4418988914504171,0.022972332201977096,Ch68,['Ch68'],R050124-R050116,nan,kalpha
"051121,051123",0.02024429044094146,0.028183712714047373,Ry72,['Ry72'],R051123-R051121,nan,kalpha
"052124,052126",0.0860201587404543,0.029976890880974855,Su69,['Su69'],R052126-R052124,nan,kalpha
"052126,052128",0.05817758042559512,0.029799429969556684,Su69,['Su69'],R052128-R052126,nan,kalpha
"052128,052130",0.04996492214397352,0.029747806492453052,Su69,['Su69'],R052130-R052128,nan,kalpha
"056134,056135",-0.041461138381878634,0.01750829464424768,Su69a,['Su69a'],R056135-R056134,nan,kalpha
"056134,056136",-0.022602615967251685,0.01788377842144335,Su69a,['Su69a'],R056136-R056134,nan,kalpha
"056136,056137",-0.0013338431386534018,0.017331780275639475,Su69a,['Su69a'],R056137-R056136,nan,kalpha
"056136,056138",0.060620205785051756,0.018336122654317572,Su69a,['Su69a'],R056138-R056136,nan,kalpha
"058140,058142",0.2905327518304694,0.013884597971528257,Ei70a,['Ei70a'],R058142-R058140,nan,kalpha
"060142,060143",0.12788455377633906,0.026516359780947883,Le73,['Le73'],R060143-R060142,nan,kalpha
"060142,060144",0.3197107466279277,0.014820325994864773,Le73,['Le73'],R060144-R060142,nan,kalpha
"060143,060144",0.192157313056866,0.0197437736565336,Le73,['Le73'],R060144-R060143,nan,kalpha
"060144,060145",0.13800281365205166,0.02234075067116742,Le73,['Le73'],R060145-R060144,nan,kalpha
"060144,060146",0.2559230969769531,0.03885744330937669,"Bh69,  Le73","['Bh69', 'Le73']",R060146-R060144,nan,kalpha
"060144,060146",0.2971968364153119,0.05484338288547317,"Su67, Su68","['Su67', 'Su68']",R060146-R060144,nan,kalpha
"060145,060146",0.11748148281773291,0.043915959096067804,"Bh69,  Le73","['Bh69', 'Le73']",R060146-R060145,nan,kalpha
"060146,060148",0.30410263274946936,0.040598628508411595,"Bh69,  Le73","['Bh69', 'Le73']",R060148-R060146,nan,kalpha
"060146,060148",0.3069991195189382,0.05017097250176846,"Su67, Su68","['Su67', 'Su68']",R060148-R060146,nan,kalpha
"060148,060150",0.4528050931496133,0.029043970052876334,"Bh69,  Le73","['Bh69', 'Le73']",R060150-R060148,nan,kalpha
"060148,060150",0.52726842941104,0.06787055686948619,"Su67, Su68","['Su67', 'Su68']",R060150-R060148,nan,kalpha
"062144,062148",0.5268478167105203,0.09731379854862915,"Su67, Su68","['Su67', 'Su68']",R062148-R062144,nan,kalpha
"062147,062148",0.19157998778901889,0.01542910916776126,Le73,['Le73'],R062148-R062147,nan,kalpha
"062148,062149",0.08682305895298874,0.012625210538243862,Le73,['Le73'],R062149-R062148,nan,kalpha
"062148,062150",0.33812787778795356,0.015754150347853657,Le73,['Le73'],R062150-R062148,nan,kalpha
"062148,062150",0.3929524858360583,0.06337842410013138,"Su67, Su68","['Su67', 'Su68']",R062150-R062148,nan,kalpha
"062148,062154",1.0572829702728985,0.017762358598621575,"Ch68, Bh69","['Ch68', 'Bh69']",R062154-R062148,nan,kalpha
"062149,062150",0.25331492312956017,0.015944137822439773,Le73,['Le73'],R062150-R062149,nan,kalpha
